BOM_url,Title,Domestic_Total_Gross,Release_Date,Budget,UK_Total_Gross,Actors,Genre,Country,British,
http://www.boxofficemojo.com/movies/?id=allislost.htm,All Is Lost,6263670,10/18/13,,1259533,['Robert Redford'],Drama,['USA'],0,
http://www.boxofficemojo.com/movies/?id=allthekingsmen.htm,All the King's Men,7221458,9/22/06,55000000,177975,"['Mark Ruffalo', 'Patricia Clarkson', 'Kate Winslet', 'Jude Law', 'Jackie Earle Haley', 'Sean Penn', 'Anthony Hopkins', 'James Gandolfini']",Drama,"['Germany', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=allyouneediskill.htm,Edge of Tomorrow,100206256,6/6/14,178000000,13304522,"['Emily Blunt', 'Bill Paxton', 'Brendan Gleeson', 'Tom Cruise']",Sci-Fi,"['USA', 'Canada']",1,
http://www.boxofficemojo.com/movies/?id=almanac.htm,Project Almanac,22348241,1/30/15,12000000,1799878,"['Jonny Weston', ""Sofia Black-D'Elia"", 'Sam Lerner', 'Allen Evangelista']",Sci-Fi,['USA'],0,
http://www.boxofficemojo.com/movies/?id=alongcamepolly.htm,Along Came Polly,88097164,1/16/04,42000000,15030232,"['Kevin Hart*', 'Ben Stiller', 'Alec Baldwin', 'Jennifer Aniston', 'Philip Seymour Hoffman']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=alongwaydown.htm,A Long Way Down,13347,7/11/14,,1493867,"['Imogen Poots', 'Toni Collette', 'Rosamund Pike', 'Aaron Paul', 'Pierce Brosnan']",Comedy,"['UK', 'Germany']",1,
http://www.boxofficemojo.com/movies/?id=alphaandomega.htm,Alpha and Omega,25107267,9/17/10,,4770519,"['', 'Dennis Hopper ', ' ', 'Christina Ricci', '(Voice)', 'Hayden Panettiere', 'Justin Long']",Animation,"['USA', 'India']",0,
http://www.boxofficemojo.com/movies/?id=alphadog.htm,Alpha Dog,15309602,1/12/07,,4118141,"['Amanda Seyfried', 'Ben Foster', 'Olivia Wilde*', 'Sharon Stone', 'Bruce Willis', 'Justin Timberlake', 'Emile Hirsch', 'Amber Heard*', 'Lukas Haas*']",Drama,"['USA', 'Germany']",0,
http://www.boxofficemojo.com/movies/?id=alvin3d.htm,Alvin and the Chipmunks: Chipwrecked,133110742,12/16/11,75000000,23778315,"['Anna Faris', 'David Cross', '(Voice)', 'Christina Applegate', 'Jason Lee', 'Justin Long']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=alvinandthechipmunks.htm,Alvin and the Chipmunks,217326974,12/14/07,60000000,23615904,"['David Cross', '(Voice)', 'Cameron Richardson', 'Jason Lee', 'Jane Lynch', 'Justin Long']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=alvinandthechipmunksii.htm,Alvin and the Chipmunks: The Squeakquel,219614612,12/23/09,75000000,174663,"['Anna Faris', 'David Cross', '(Voice)', 'Zachary Levi', 'Christina Applegate', 'Jason Lee', 'Justin Long', 'Amy Poehler ']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=amateurs.htm,The Amateurs,16334,12/7/07,,9308,"['Tim Blake Nelson', 'Joe Pantoliano', 'Jeff Bridges', 'Ted Danson', 'Patrick Fugit', 'William Fichtner']",Comedy,"['USA', 'Germany']",0,
http://www.boxofficemojo.com/movies/?id=amazinggrace.htm,Amazing Grace,21250683,2/23/07,,4680228,"['Rufus Sewell', 'Benedict Cumberbatch', 'Albert Finney', 'Michael Gambon', 'Romola Garai', 'Ciaran Hinds', 'Ioan Gruffudd']",Drama,"['UK', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=amazingspiderman2.htm,The Amazing Spider-Man 2,202853933,5/2/14,,361052,"['Andrew Garfield', 'Felicity Jones*', 'Emma Stone', 'Sally Field', 'Jamie Foxx', 'Dane DeHaan', 'Chris Cooper', 'Paul Giamatti']",Action,['USA'],1,
http://www.boxofficemojo.com/movies/?id=american10.htm,The American,35606376,9/1/10,20000000,2170991,"['Violante Placido', 'George Clooney']",Drama,"['USA', 'UK']",0,
http://www.boxofficemojo.com/movies/?id=americandreamz.htm,American Dreamz,7191830,4/21/06,17000000,3942279,"['Chris Klein', 'Jennifer Coolidge', 'Marcia Gay Harden', 'Hugh Grant', 'Mandy Moore', 'Willem Dafoe', 'Dennis Quaid']",Comedy,['USA'],1,
http://www.boxofficemojo.com/movies/?id=americangangster.htm,American Gangster,130164645,11/2/07,100000000,19890424,"['Idris Elba', 'RZA', 'Denzel Washington', 'Josh Brolin', 'Russell Crowe', 'Common', 'T.I.', 'Chiwetel Ejiofor', 'Carla Gugino']",Drama,"['USA', 'UK']",1,
http://www.boxofficemojo.com/movies/?id=americanhaunting.htm,An American Haunting,16298046,5/5/06,14000000,3394905,"['Donald Sutherland', 'Sissy Spacek', ""James D'Arcy"", 'Rachel Hurd-Wood']",Horror,"['UK', 'Canada', 'Romania', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=americanreunion.htm,American Reunion,57011521,4/6/12,50000000,25867816,"['Chris Klein', 'Eugene Levy', 'Shannon Elizabeth*', 'Eddie Kay Thomas', 'Jennifer Coolidge*', 'Mena Suvari', 'Tara Reid', 'Seann William Scott', 'Jason Biggs', 'Alyson Hannigan', 'John Cho*', 'Thomas Ian Nicholas', 'Natasha Lyonne*']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=americansniper.htm,American Sniper,349003865,12/25/14,58800000,20735943,"['Sienna Miller', 'Bradley Cooper']",Drama,['USA'],1,
http://www.boxofficemojo.com/movies/?id=americansplendor.htm,American Splendor,6010990,8/15/03,,701463,"['Josh Hutcherson*', 'Hope Davis', 'Paul Giamatti']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=americanteen.htm,American Teen,942441,7/25/08,,32256,"['Jake Tusing', 'Megan Krizmanich', 'Colin Clemens', 'Mitch Reinholt']",Documentary,['USA'],0,
http://www.boxofficemojo.com/movies/?id=americanwedding.htm,American Wedding,104565114,8/1/03,55000000,27826516,"['January Jones', 'Jennifer Coolidge*']",Comedy,"['USA', 'Germany']",0,
http://www.boxofficemojo.com/movies/?id=amityvillehorror05.htm,The Amityville Horror,65233369,4/15/05,19000000,9597259,"['Chloe Moretz', 'Ryan Reynolds']",Horror,['USA'],0,
http://www.boxofficemojo.com/movies/?id=amostwantedman.htm,A Most Wanted Man,17237855,7/25/14,,3254206,"['Daniel Bruhl', 'Willem Dafoe', 'Rachel McAdams', 'Philip Seymour Hoffman']",Thriller,"['UK', 'USA', 'Germany']",0,
http://www.boxofficemojo.com/movies/?id=anacondas.htm,Anacondas: The Hunt for the Blood Orchid,32238923,8/27/04,20000000,626648,"['Johnny Messner', 'KaDee Strickland', 'Matthew Marsden', 'Nicholas Gonzalez']",Horror,['USA'],0,
http://www.boxofficemojo.com/movies/?id=anchorbaby.htm,Anchor Baby,15790,7/8/11,,37526,"['Omoni Oboli', 'Sam Sarpong', 'Terri Oliver', 'Santiago Lopera']",Drama,"['Canada', 'Nigeria']",0,
http://www.boxofficemojo.com/movies/?id=anchorman.htm,Anchorman: The Legend of Ron Burgundy,85288303,7/9/04,26000000,2974968,"['(Cameo)', 'Will Ferrell', 'Tim Robbins*', 'Ben Stiller*', 'Christina Applegate', 'Paul Rudd', 'Steve Carell', 'Jack Black*', 'Luke Wilson*', 'Seth Rogen*', 'Vince Vaughn*']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=anchorman2.htm,Anchorman 2: The Legend Continues,125168368,12/18/13,50000000,23475178,"['Kristen Wiig', 'Christina Applegate', 'Will Ferrell', 'Harrison Ford', 'Steve Carell', 'James Marsden', 'Paul Rudd', 'David Koechner', 'Meagan Good']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=aneducation.htm,An Education,12574914,10/9/09,7500000,60876,"['Sally Hawkins*', 'Dominic Cooper', 'Olivia Williams', 'Alfred Molina', 'Carey Mulligan', 'Rosamund Pike', 'Peter Sarsgaard', 'Emma Thompson']",Drama,"['UK', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=angelsshare.htm,The Angels' Share,346669,4/12/13,,3028569,"['Paul Brannigan', 'Siobhan Reilly', 'John Henshaw', 'Gary Maitland']",Comedy,"['UK', 'France', 'Belgium', 'Italy']",0,
http://www.boxofficemojo.com/movies/?id=angermanagement.htm,Anger Management,135645823,4/11/03,75000000,9594802,"['Adam Sandler', 'Woody Harrelson*', 'John Turturro*', 'Luis Guzman', 'Marisa Tomei', 'Jack Nicholson', 'January Jones*']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=animalkingdom.htm,Animal Kingdom,1044039,8/13/10,,785445,"['Joel Edgerton', 'Guy Pearce']",Drama,['Australia'],0,
http://www.boxofficemojo.com/movies/?id=annakarenina2012.htm,Anna Karenina,12816367,11/16/12,,8746710,"['Kelly Macdonald', 'Olivia Williams', 'Keira Knightley', 'Matthew MacFadyen', 'Jude Law', 'Aaron Johnson']",Drama,['UK'],1,
http://www.boxofficemojo.com/movies/?id=annie2014.htm,Annie,85911262,12/19/14,65000000,11429478,"['Quvenzhane Wallis', 'Bobby Cannavale', 'Rose Byrne', 'Jamie Foxx', 'Cameron Diaz']",Drama,['USA'],0,
http://www.boxofficemojo.com/movies/?id=anonymous.htm,Anonymous,4463292,10/28/11,30000000,737043,"['Derek Jacobi', 'David Thewlis', 'Xavier Samuel', 'Vanessa Redgrave', 'Rhys Ifans']",Drama,"['UK', 'Germany', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=anotherearth.htm,Another Earth,1321194,7/22/11,,363659,"['William Mapother', 'Brit Marling']",Drama,['USA'],0,
http://www.boxofficemojo.com/movies/?id=anotheryear.htm,Another Year,3205706,12/29/10,8000000,2770445,"['Jim Broadbent', 'Imelda Staunton']",Drama,['UK'],1,
http://www.boxofficemojo.com/movies/?id=antarctica.htm,Eight Below,81612565,2/17/06,40000000,2102130,"['Bruce Greenwood', 'Jason Biggs', 'Paul Walker']",Adventure,['USA'],0,
http://www.boxofficemojo.com/movies/?id=antbully.htm,The Ant Bully,28142535,7/28/06,50000000,3971526,"['Meryl Streep', 'Nicolas Cage', '(Voice)', 'Julia Roberts', 'Paul Giamatti']",Animation,['USA'],0,
