Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
Beastly,27865571,2195141,"Neil Patrick Harris, Vanessa Hudgens, Peter Krause, Alex Pettyfer, Mary-Kate Olsen",USA,1,Fantasy,17000000
Beasts of the Southern Wild,12795746,1171452,"Quvenzhane Wallis, Dwight Henry",USA,0,Drama,
Beautiful Creatures,19452138,3760105,"Emmy Rossum, Thomas Mann, Alice Englert, Jeremy Irons, Alden Ehrenreich, Emma Thompson, Viola Davis",USA,1,Drama,60000000
Beauty Shop,36351350,723915,"(Cameo), Ice Cube*, Kevin Bacon, Queen Latifah, Alicia Silverstone",USA,0,Comedy,
Beauty and the Beast,47617067,4594648,"""Paige OHara"", Robby Benson, Richard White, Jerry Orbach",USA,0,Animation,
Because I Said So,42674040,1990471,"Piper Perabo, Gabriel Macht, Stephen Collins, Tom Everett Scott, Lauren Graham, Mandy Moore, Diane Keaton",USA,0,Comedy,
Bedtime Stories,110101975,12886242,"Adam Sandler, Richard Griffiths, Teresa Palmer, Allen Covert*, Keri Russell, Courteney Cox, Russell Brand, Guy Pearce, Nick Swardson*",USA,1,Adventure,80000000
Bee Movie,126631277,18416598,",  , Kathy Bates*, Jerry Seinfeld , (Voice), Chris Rock*, Larry Miller* , Patrick Warburton* ","USA, Australia",0,Animation,150000000
Beerfest,19185184,738207,"Will Forte, ""MoNique*""","USA, Australia",0,Comedy,
Before Midnight,8114627,1241899,"Julie Delpy, Ethan Hawke","USA, Greece",0,Drama,
Before Sunset,5820649,1708271,"Julie Delpy, Ethan Hawke",USA,0,Romance,2700000
Before the Devil Knows You're Dead,7084227,898096,"Ethan Hawke, Amy Ryan, Albert Finney, Marisa Tomei, Philip Seymour Hoffman",USA,1,Thriller,
Begin Again,16170632,2630129,"Mark Ruffalo, Mos Def, Keira Knightley, Hailee Steinfeld, Catherine Keener",USA,1,Comedy,
Beginners,5790894,1140463,"Goran Visnjic, Ewan McGregor, Melanie Laurent, Christopher Plummer",USA,1,Drama,3200000
Beowulf,82280579,14815632,",  , Ray Winstone , (Voice), John Malkovich*",USA,0,Animation,150000000
Beverly Hills Chihuahua,94514402,5497724,", Piper Perabo, Jamie Lee Curtis,  , (Voice), Andy Garcia* ",USA,0,Comedy,
Bewitched,63313159,8148111,"Will Ferrell, Michael Caine, Nicole Kidman, Shirley MacLaine, Steve Carell*, Jason Schwartzman",USA,1,Comedy,85000000
Beyond the Sea,6318709,898527,"Kevin Spacey, Kate Bosworth","USA, Germany, UK",0,Drama,
Big Fish,66809693,11451955,"Ewan McGregor, Billy Crudup, Miley Cyrus*, Danny DeVito, Helena Bonham Carter",USA,1,Drama,70000000
Big Hero 6,222404450,29426786,",  , Genesis Rodriguez , James Cromwell , (Voice), TJ Miller ",USA,0,Animation,165000000
Big Miracle,20157300,955897,"Rob Riggle*, Ted Danson, Drew Barrymore, Kristen Bell, Tim Blake Nelson, John Krasinski, Stephen Root, Dermot Mulroney","USA, UK",0,Drama,40000000
Big Momma's House 2,70165972,16107165,"Chloe Moretz, Nia Long, Martin Lawrence, Kat Dennings, Zachary Levi",USA,0,Action,40000000
"Big Mommas: Like Father, Like Son",37915414,8340294,"Portia Doubleday, Martin Lawrence, Ken Jeong*, Brandon T. Jackson, Ana Ortiz, Jessica Lucas",USA,0,Action,32000000
Birdman,42340598,8764178,"Naomi Watts, Amy Ryan, Michael Keaton, Edward Norton, Emma Stone, Andrea Riseborough, Zach Galifianakis",USA,0,Comedy,18000000
Black Swan,106954678,26014490,"Vincent Cassel, Barbara Hershey, Winona Ryder, Sebastian Stan*, Mila Kunis, Natalie Portman",USA,0,Drama,13000000
Blade Runner,27580111,399260,"Harrison Ford, Rutger Hauer","USA, Hong Kong, UK",0,Thriller,
Blade: Trinity,52411906,12911545,"Wesley Snipes, Parker Posey, Jessica Biel, Ryan Reynolds",USA,0,Action,65000000
