,Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Budget,Genres
98,Righteous Kill,40081410.0,3629890,"Al Pacino, Melissa Leo*, John Leguizamo, 50 Cent, Brian Dennehy, Donnie Wahlberg, Carla Gugino, Robert DeNiro",USA,0,60000000.0,Thriller
99,Insomnia,67355513.0,7871664,"Al Pacino, Robin Williams, Martin Donovan, Hilary Swank","USA, Canada",0,46000000.0,Thriller
100,Little Miss Sunshine,59891098.0,6458370,"Alan Arkin, Greg Kinnear, Abigail Breslin, Toni Collette, Steve Carell, Bryan Cranston*, Paul Dano",USA,0,8000000.0,Comedy
101,Finding Nemo,41128283.0,1873148,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",USA,0,94000000.0,Animation
102,Finding Nemo,41128283.0,1873148,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",USA,0,94000000.0,Animation
103,Finding Nemo,41128283.0,1873148,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",USA,0,,Animation
104,Finding Nemo,41128283.0,1873148,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",USA,0,,Animation
105,Finding Nemo,339714978.0,67117404,"Willem Dafoe*, Geoffrey Rush*, Eric Bana*, (Voice), Albert Brooks, Ellen DeGeneres",USA,0,94000000.0,Animation
106,Finding Nemo,339714978.0,67117404,"Willem Dafoe*, Geoffrey Rush*, Eric Bana*, (Voice), Albert Brooks, Ellen DeGeneres",USA,0,94000000.0,Animation
107,Finding Nemo,339714978.0,67117404,"Willem Dafoe*, Geoffrey Rush*, Eric Bana*, (Voice), Albert Brooks, Ellen DeGeneres",USA,0,,Animation
108,Finding Nemo,339714978.0,67117404,"Willem Dafoe*, Geoffrey Rush*, Eric Bana*, (Voice), Albert Brooks, Ellen DeGeneres",USA,0,,Animation
109,The In-Laws,20453431.0,390248,"Albert Brooks, Michael Douglas, Ryan Reynolds","USA, Germany, Canada",0,,Action
110,Michael Jackson's This Is It,72091016.0,16070992,"Alex Al, Michael Bearden, Paul Gongaware, Michael Jackson",USA,0,,Concert
111,Elephant,1266955.0,357998,"Alex Frost, Eric Deulen, John Robinson, Elias McConnell",USA,0,,Drama
112,The Seeker: The Dark Is Rising,8794452.0,1749119,"Alexander Ludwig, Christopher Eccleston, Ian McShane, Frances Conroy",USA,1,,Fantasy
113,Texas Chainsaw 3D,34341945.0,3125247,"Alexandra Daddario, Dan Yeager, Trey Songz, Scott Eastwood",USA,0,,Horror
114,A Lot Like Love,21845719.0,2646490,"Ali Larter, Kal Penn, Amanda Peet, Ashton Kutcher",USA,0,30000000.0,Comedy
115,Final Destination 2,46961214.0,9328951,Ali Larter,"USA, Canada",0,,Horror
116,Goon,4168528.0,2816630,"Alison Pill, Liev Schreiber, Seann William Scott, Eugene Levy, Jay Baruchel","USA, Canada",0,,Comedy
117,Devil's Due,15821461.0,3497595,"Allison Miller, Zach Gilford, Sam Anderson, Roger Payano",USA,0,7000000.0,Horror
118,The X-Files: I Want to Believe,20982478.0,4391760,"Amanda Peet, David Duchovny, Gillian Anderson","USA, Canada",0,30000000.0,Thriller
119,Alpha Dog,15309602.0,4118141,"Amanda Seyfried, Ben Foster, Olivia Wilde*, Sharon Stone, Bruce Willis, Justin Timberlake, Emile Hirsch, Amber Heard*, Lukas Haas*","USA, Germany",0,,Drama
120,Jennifer's Body,16204793.0,884511,"Amanda Seyfried, Chris Pratt, Megan Fox",USA,0,16000000.0,Horror
121,Dear John,80014842.0,7918385,"Amanda Seyfried, Richard Jenkins, Channing Tatum",USA,0,25000000.0,Romance
122,Mean Girls,86058055.0,10092036,"Amanda Seyfried, Tina Fey, Rachel McAdams, Lindsay Lohan","USA, Canada",0,17000000.0,Comedy
123,Letters to Juliet,53032453.0,2991605,"Amanda Seyfried, Vanessa Redgrave",USA,1,30000000.0,Romance
124,Pineapple Express,87341380.0,6979618,"Amber Heard, James Franco, Danny McBride, Kevin Corrigan, Rosie Perez, Gary Cole, Seth Rogen",USA,0,27000000.0,Action
125,The Sisterhood of the Traveling Pants,39053061.0,608637,"Amber Tamblyn, Mike Vogel, America Ferrera, Blake Lively, Alexis Bledel","USA, Greece, Mexico",0,25000000.0,Comedy
126,The Grudge 2,39143839.0,3881660,"Amber Tamblyn, Sarah Michelle Gellar, Teresa Palmer, Sarah Roemer, Jenna Dewan-Tatum*","USA, Japan",0,20000000.0,Horror
127,Leap Year,25918920.0,2740697,"Amy Adams, Adam Scott, Matthew Goode","USA, Ireland",1,19000000.0,Comedy
128,The Wedding Date,31726995.0,7577974,"Amy Adams, Debra Messing, Jack Davenport, Dermot Mulroney",USA,1,15000000.0,Comedy
129,The Master,16377274.0,2295079,"Amy Adams, Joaquin Phoenix, Philip Seymour Hoffman",USA,0,,Drama
130,Julie & Julia,94125426.0,3996292,"Amy Adams, Stanley Tucci, Meryl Streep, Chris Messina, Jane Lynch",USA,0,40000000.0,Comedy
131,Junebug,2678691.0,399619,Amy Adams,USA,0,,Comedy
132,Win Win,10179275.0,731851,"Amy Ryan, Jeffrey Tambor, Bobby Cannavale, Burt Young, Paul Giamatti, Melanie Lynskey",USA,0,,Comedy
133,Aliens of the Deep,8968684.0,1190781,"Anatoly M. Sagalevitch, Genya Chernaiev, Victor Nischeta, Pamela Conrad",USA,0,,IMAX
134,Footloose,51802742.0,2311784,"Andie MacDowell, Miles Teller, Kenny Wormald, Dennis Quaid, Julianne Hough",USA,0,24000000.0,Drama
135,Transamerica,9015303.0,1392753,"Andrea James, Felicity Huffman, Danny Burstein, Maurice Orozco",USA,0,,Comedy
136,The Amazing Spider-Man,262030663.0,40286388,"Andrew Garfield, Campbell Scott*, Rhys Ifans, Irrfan Khan, Emma Stone, Sally Field, Denis Leary, Martin Sheen, Embeth Davidtz*",USA,1,230000000.0,Action
137,The Amazing Spider-Man 2,202853933.0,361052,"Andrew Garfield, Felicity Jones*, Emma Stone, Sally Field, Jamie Foxx, Dane DeHaan, Chris Cooper, Paul Giamatti",USA,1,,Action
138,Paranormal Activity: The Marked Ones,32462372.0,4800827,"Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Renee Victor",USA,0,5000000.0,Horror
139,This Means War,54760791.0,7979125,"Angela Bassett, Chelsea Handler, Rosemary Harris*, Chris Pine, Reese Witherspoon, Til Schweiger, Tom Hardy",USA,1,65000000.0,Action
140,Meet the Robinsons,97822171.0,8911040,"Angela Bassett, Daniel Hansen, Jordan Fry, Matthew Josten",USA,0,,Animation
141,Olympus Has Fallen,98925640.0,9537868,"Angela Bassett, Gerard Butler, Cole Hauser, Robert Forster, Melissa Leo, Ashley Judd, Morgan Freeman, Dylan McDermott, Radha Mitchell, Aaron Eckhart",USA,1,70000000.0,Thriller
142,Green Lantern,116601172.0,10082852,"Angela Bassett, Michael Clarke Duncan*, (Voice), Tim Robbins, Blake Lively, Ryan Reynolds, Peter Sarsgaard, Mark Strong",USA,1,200000000.0,Action
143,Kung Fu Panda 2,165249063.0,2684441,"Angelina Jolie, , Jack Black,  , David Cross , Lucy Liu, (Voice), Jackie Chan, Jean-Claude Van Damme , Dustin Hoffman, Seth Rogen",USA,0,150000000.0,Animation
144,Kung Fu Panda,215434591.0,39405501,"Angelina Jolie, , Jack Black,  , Michael Clarke Duncan*, Ian McShane , Dan Fogler*, (Voice), Dustin Hoffman",USA,0,130000000.0,Animation
145,Changeling,35739802.0,7565982,"Angelina Jolie, Colm Feore, Amy Ryan, Jeffrey Donovan, John Malkovich",USA,0,55000000.0,Thriller
146,Lara Croft Tomb Raider: The Cradle of Life,65660196.0,8636601,"Angelina Jolie, Gerard Butler, Djimon Hounsou, Til Schweiger, Noah Taylor, Ciaran Hinds","USA, Germany, Japan, UK",1,95000000.0,Action
147,Sky Captain and the World of Tomorrow,37762677.0,2434817,"Angelina Jolie, Giovanni Ribisi, Gwyneth Paltrow, Jude Law","USA, UK, Italy",1,70000000.0,Adventure
148,Shark Tale,160861908.0,41435801,"Angelina Jolie, Jack Black, Will Smith, (Voice), Renee Zellweger, Robert DeNiro",USA,0,75000000.0,Animation
149,Maleficent,241410378.0,32725839,"Angelina Jolie, Lesley Manville, Sharlto Copley, Brenton Thwaites, Sam Riley, Miranda Richardson, Juno Temple, Elle Fanning, Imelda Staunton","USA, UK",1,180000000.0,Fantasy
150,Salt,118311368.0,11321253,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",USA,1,110000000.0,Action
151,The Good Shepherd,59952835.0,3761084,"Angelina Jolie, Matt Damon, Lee Pace*, Billy Crudup, Gabriel Macht*, Eddie Redmayne*, Timothy Hutton*, William Hurt, Keir Dullea, Michael Gambon, Joe Pesci, Alec Baldwin, Robert DeNiro",USA,1,,Action
152,Taking Lives,32682342.0,1669779,"Angelina Jolie, Paul Dano*, Ethan Hawke, Gena Rowlands, Kiefer Sutherland","USA, Australia",0,45000000.0,Thriller
153,The Tourist,67631157.0,8045889,"Angelina Jolie, Rufus Sewell, Johnny Depp, Paul Bettany, Timothy Dalton","USA, France, Italy",1,100000000.0,Thriller
154,Mr. & Mrs. Smith,186336279.0,24619123,"Angelina Jolie, Vince Vaughn, Kerry Washington, Brad Pitt, Michelle Monaghan*, Adam Brody, Keith David",USA,0,110000000.0,Action
155,A Mighty Heart,9176787.0,786535,Angelina Jolie,"USA, UK",0,16000000.0,Drama
156,What's Your Number?,14011084.0,1278571,"Anna Faris, Blythe Danner, Andy Samberg, Martin Freeman, Chris Evans, Aziz Ansari*, Chris Pratt, Mike Vogel*, Zachary Quinto, Ari Graynor, Anthony Mackie",USA,1,20000000.0,Comedy
157,Alvin and the Chipmunks: Chipwrecked,133110742.0,23778315,"Anna Faris, David Cross, (Voice), Christina Applegate, Jason Lee, Justin Long",USA,0,75000000.0,Comedy
158,The House Bunny,48237389.0,5378284,"Anna Faris, Emma Stone, Kat Dennings, Colin Hanks, Katherine McPhee, Nick Swardson*",USA,0,25000000.0,Comedy
159,Waiting...,16124543.0,1171170,"Anna Faris, Justin Long, Ryan Reynolds",USA,0,3000000.0,Comedy
160,The Hot Chick,35081594.0,663156,"Anna Faris, Rachel McAdams, Rob Schneider, Adam Sandler*",USA,0,,Comedy
161,Limitless,79249455.0,13773623,"Anna Friel, Abbie Cornish, Bradley Cooper, Robert DeNiro",USA,1,27000000.0,Action
162,Goal! The Dream Begins,4283255.0,3699444,Anna Friel,"USA, UK",0,,Drama
163,Camp,1629862.0,897861,Anna Kendrick*,USA,0,,Comedy
164,Annabelle,84273813.0,12034061,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard",USA,0,6500000.0,Horror
165,Bridge to Terabithia,82272442.0,9582864,"AnnaSophia Robb, Robert Patrick, Zooey Deschanel, Josh Hutcherson","USA, New Zealand",0,,Fantasy
